id,name,type,points
1,Đọc Kinh Thánh,Weekly,2
2,Thuộc câu gốc,Weekly,2
3,Làm việc tốt trong tuần,Weekly,2
4,Hát thánh ca,Normal,1
5,Trả lời câu hỏi,Normal,1
6,Sinh hoạt đội nhóm,Special,3
7,Tham gia Hội Trại,Once,5
8,Gian hàng Hội Chợ,Once,5
